aqi,pm25,pm10,lat,lon,source,age_group,sensitivity,risk
75,28.3,35.6,34.052235,-118.243683,Open-Meteo,25-34,medium,1
54,26.3,29.2,34.052235,-118.243683,Open-Meteo,25-34,high,2
40,1.3,1.4,40.712776,-74.005974,Open-Meteo,18-24,low,0
145,62.2,97.3,31.230391,121.473701,Open-Meteo,35-44,low,2
32,11.2,16.0,51.507351,-0.127758,Open-Meteo,25-34,high,1
61,16.2,18.8,1.352083,103.819839,Open-Meteo,45+,high,2
51,14.8,15.0,40.712776,-74.005974,Open-Meteo,45+,high,2
56,10.7,14.1,-33.86882,151.20929,Open-Meteo,35-44,high,2
66,11.6,13.2,52.229676,21.012229,Open-Meteo,18-24,low,1
75,22.8,28.6,34.052235,-118.243683,Open-Meteo,35-44,high,2
37,8.8,11.3,41.902782,12.496366,Open-Meteo,18-24,low,0
37,17.0,17.6,40.712776,-74.005974,Open-Meteo,45+,medium,0
58,11.6,13.5,42.341685,69.590103,Open-Meteo,35-44,high,2
55,6.5,9.1,-33.86882,151.20929,Open-Meteo,45+,low,1
105,25.9,34.8,41.00824,28.978359,Open-Meteo,45+,high,3
46,4.5,6.6,51.507351,-0.127758,Open-Meteo,35-44,high,1
48,9.0,12.7,-33.86882,151.20929,Open-Meteo,25-34,medium,0
117,16.8,20.7,13.756331,100.501762,Open-Meteo,45+,medium,2
153,92.7,127.1,31.230391,121.473701,Open-Meteo,45+,low,3
38,14.3,25.3,51.169392,71.449074,Open-Meteo,18-24,high,1
34,9.1,13.7,49.806755,73.085449,Open-Meteo,35-44,medium,0
65,37.1,39.5,35.676193,139.650311,Open-Meteo,18-24,high,2
177,11.5,30.5,39.904202,116.407394,Open-Meteo,25-34,medium,3
90,19.0,20.3,35.676193,139.650311,Open-Meteo,25-34,high,2
114,34.9,165.0,30.04442,31.235712,Open-Meteo,18-24,high,3
74,12.3,12.3,-23.55052,-46.633308,Open-Meteo,25-34,high,2
64,26.1,31.6,48.856613,2.352222,Open-Meteo,18-24,low,1
110,65.4,78.5,37.566536,126.977966,Open-Meteo,25-34,high,3
38,11.9,17.2,52.520008,13.404954,Open-Meteo,35-44,low,0
33,9.7,11.9,41.902782,12.496366,Open-Meteo,18-24,high,1
64,16.4,36.7,34.052235,-118.243683,Open-Meteo,45+,low,1
59,6.4,6.8,40.712776,-74.005974,Open-Meteo,25-34,medium,1
51,15.4,20.9,52.520008,13.404954,Open-Meteo,25-34,high,2
65,23.3,29.0,1.352083,103.819839,Open-Meteo,25-34,high,2
87,11.6,12.9,37.566536,126.977966,Open-Meteo,25-34,low,1
77,31.0,44.2,30.04442,31.235712,Open-Meteo,45+,high,2
55,5.7,7.9,-33.86882,151.20929,Open-Meteo,18-24,medium,1
96,27.1,29.8,13.756331,100.501762,Open-Meteo,45+,medium,1
151,70.5,74.5,31.230391,121.473701,Open-Meteo,45+,low,3
236,82.7,588.6,28.613939,77.209023,Open-Meteo,35-44,medium,3
52,19.4,21.7,42.341685,69.590103,Open-Meteo,18-24,low,1
54,34.6,35.4,-33.86882,151.20929,Open-Meteo,35-44,high,2
236,87.8,717.1,28.613939,77.209023,Open-Meteo,18-24,high,3
46,13.4,18.3,41.902782,12.496366,Open-Meteo,18-24,medium,0
89,35.6,44.5,37.566536,126.977966,Open-Meteo,18-24,low,1
107,49.4,59.3,41.00824,28.978359,Open-Meteo,45+,high,3
60,18.5,20.2,1.352083,103.819839,Open-Meteo,25-34,medium,1
90,27.8,27.9,19.432608,-99.133209,Open-Meteo,35-44,medium,1
80,9.5,18.0,30.04442,31.235712,Open-Meteo,35-44,low,1
85,11.6,13.6,37.566536,126.977966,Open-Meteo,35-44,medium,1
94,16.1,18.4,52.229676,21.012229,Open-Meteo,35-44,medium,1
48,6.7,8.8,48.856613,2.352222,Open-Meteo,18-24,medium,0
166,52.4,65.7,31.230391,121.473701,Open-Meteo,35-44,high,3
70,39.0,42.8,34.052235,-118.243683,Open-Meteo,25-34,medium,1
152,16.4,18.6,39.904202,116.407394,Open-Meteo,35-44,low,3
102,17.6,46.3,39.904202,116.407394,Open-Meteo,25-34,medium,2
152,60.3,152.3,28.613939,77.209023,Open-Meteo,45+,medium,3
146,31.8,39.1,13.756331,100.501762,Open-Meteo,45+,low,2
66,13.6,18.4,1.352083,103.819839,Open-Meteo,35-44,low,1
33,8.3,13.4,51.507351,-0.127758,Open-Meteo,25-34,low,0
96,20.5,20.7,-23.55052,-46.633308,Open-Meteo,45+,low,1
69,26.8,34.7,34.052235,-118.243683,Open-Meteo,25-34,high,2
126,58.4,234.7,28.613939,77.209023,Open-Meteo,18-24,high,3
79,40.0,113.2,30.04442,31.235712,Open-Meteo,18-24,high,2
382,44.5,136.4,28.613939,77.209023,Open-Meteo,45+,medium,3
37,3.4,4.3,40.416775,-3.70379,Open-Meteo,35-44,medium,0
28,4.2,10.4,51.507351,-0.127758,Open-Meteo,35-44,high,1
34,3.8,4.4,41.902782,12.496366,Open-Meteo,35-44,medium,0
47,15.8,17.5,35.676193,139.650311,Open-Meteo,18-24,low,0
92,8.9,11.9,52.229676,21.012229,Open-Meteo,35-44,high,2
73,15.4,23.2,41.00824,28.978359,Open-Meteo,35-44,medium,1
78,26.3,31.2,13.756331,100.501762,Open-Meteo,18-24,low,1
50,34.0,34.6,35.676193,139.650311,Open-Meteo,35-44,medium,1
68,14.5,14.5,-23.55052,-46.633308,Open-Meteo,18-24,low,1
